,,Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
164,12,16.7,0,0.37,29.91,3.71,26.7,1097.3
165,13,17.8,0,0.36,31.41,3.74,35.6,928.4
166,14,23.3,0,0.32,31.43,3.43,37.8,1055.3
167,15,21.1,0,0.25,32.03,3.43,34.4,1187.4
168,16,22.2,0,0.29,32.24,3.52,33.3,1279.5
169,17,21.1,6,0.24,32.24,3.69,35.6,1402.2
170,18,18.9,0,0.22,32.19,4.02,30,1453.2
171,19,16.7,7.5,0.24,32.18,3.89,34.4,1306.4
172,20,16.1,2.5,0.19,32.4,3.89,25.6,1109.5
173,21,17.8,0,0.21,32.06,3.76,30.6,840.8
174,22,20,0,0.19,31.92,3.67,34.4,680.1
175,23,22.2,0,0.21,31.64,3.87,35.6,832.6
176,24,21.1,0,0.26,31.23,3.75,35,1022.5
177,25,22.2,0,0.28,31.03,4.01,36.7,1098.4
178,26,21.7,0,0.23,31.43,3.69,35.6,1186
179,27,22.2,0,0.26,31.48,3.86,36.7,1152
180,28,21.1,0,0.23,31.3,3.4,37.2,1232.7
181,29,23.3,0,0.23,31.42,3.89,38.9,1282.3
182,30,22.8,0,0.26,31.34,3.83,38.3,1282.3
183,1,24.4,0,0.19,31.58,4.03,38.9,1351.8
184,2,25.6,0,0.36,29.99,3.18,36.7,1417.5
185,3,24.4,0,0.25,30.85,3.81,37.8,1451.5
186,4,25.6,0,0.18,31.28,3.5,38.3,1545
187,5,24.4,0,0.28,31.06,3.53,36.7,1563.7
188,6,25,0,0.38,30.79,3.42,36.1,1461.7
189,7,23.3,0,0.31,30.63,3.96,35.6,1337.6
190,8,23.9,0,0.24,31.36,3.48,36.7,1159.1
191,9,23.9,0,0.29,30.52,3.37,37.2,1087.1
192,10,23.3,0,0.44,30.1,3.13,35.6,1089.3
193,11,23.3,0,0.67,26.36,2.64,32.2,1071.2
194,12,22.8,0,0.78,20.13,2.25,36.7,1023.6
195,13,22.2,0.5,0.73,22.89,2.31,35,1070.1
196,14,22.8,3,0.68,26.23,2.65,26.7,1154.8
197,15,22.2,0,0.57,25.65,2.87,33.3,1074.6
198,16,22.2,0,0.41,30.05,3.12,36.7,1093.9
199,17,23.3,0,0.54,27.2,2.99,34.4,1157.6
200,18,23.9,0,0.48,29.35,2.88,35,1194.5
201,19,23.3,0,0.37,29,3.6,33.9,1320.6
202,20,22.8,0.4,0.29,29.6,3.46,34.4,1351.8
203,21,22.2,0,0.33,28.76,2.78,31.1,1374.4
204,22,25.6,0,0.58,29.07,2.73,34.4,1242.6
205,23,24.4,0,0.76,21.35,2.17,35.6,1195.9
206,24,25.6,0,0.63,28.24,2.68,36.7,1161.9
207,25,22.2,12.2,0.54,28.52,2.99,36.1,1076.9
208,26,21.7,0,0.43,29.03,3.19,35,1031.5
209,27,24.4,0,0.57,28.11,2.66,34.4,978.3
210,28,25.6,0,0.76,25.18,1.92,36.7,1011.1
211,29,24.4,0,0.69,27.83,2.03,35.6,1056.5
212,30,22.8,2.8,0.7,27.68,2.26,33.9,1076.9
213,31,23.3,0,0.7,27.61,2.03,36.7,991.9
214,1,24.4,0,0.72,26.93,2.03,33.9,1047.4
215,2,23.3,1,0.67,27.55,2.62,32.8,1049.7
216,3,24.4,0,0.65,9.53,3.19,35.6,1008.9
217,4,23.3,0,0.56,28.19,2.69,36.1,926.1
218,5,22.2,4.7,0.52,28.23,2.67,26.7,870.3
219,6,22.8,3,0.48,28.24,2.64,33.3,789.7
220,7,23.3,2.4,0.54,27.47,2.95,35,768
221,8,22.8,0,0.61,26.34,2.94,35.6,755.2
222,9,24.4,0,0.66,23,2.4,34.4,804
223,10,23.3,1,0.72,23.66,2.29,33.3,729.7
224,11,17.8,8.5,0.71,24.34,2.34,24.4,629.1
225,12,18.9,0,0.75,21.79,2.26,33.3,594.4
226,13,21.1,0,0.77,14.95,1.94,34.4,520
227,14,22.2,0,0.71,18.25,2.55,35,522.8
228,15,22.8,0,0.68,22.35,2.28,35.6,580.2
229,16,22.2,9,0.78,5.45,2.3,32.2,630.5
230,17,21.1,0.5,0.75,10.15,1.15,35,690.8
231,18,22.2,0,0.71,13.16,1.28,29.4,712.7
232,19,24.4,0,0.73,22.04,2.33,34.4,705.1
233,20,23.3,1,0.85,21.67,1.99,32.2,723.8
234,21,22.2,15.9,0.87,17.98,1.94,30,739.1
235,22,21.1,8.2,0.76,15.09,1.94,27.8,757.8
236,23,20,39,0.69,24.38,2.12,27.2,756.9
237,24,20,4,0.68,24.49,2.14,24.4,704.2
238,25,21.1,1.5,0.81,17.86,1.73,31.1,655.3
239,26,20.6,1.5,0.79,22.48,2.11,24.4,680.1
240,27,22.2,0,0.71,24.6,2.21,28.9,621.3
241,28,22.2,1.4,0.71,24.5,2.33,31.1,641.2
242,29,21.7,1,0.75,22.61,2.46,30.6,668.1
243,30,20,7,0.74,24.05,2.26,27.2,676.6
244,31,21.1,3.9,0.69,24.04,2.15,26.7,663.8
245,1,22.2,0.4,0.58,22.8,2.86,30,666
246,2,21.1,3.9,0.49,24.42,3.52,32.2,659.6
247,3,23.3,0,0.59,24.56,2.69,31.1,651.8
248,4,23.3,0.4,0.63,23.77,3.06,33.3,636.9
249,5,22.2,0,0.65,24.01,2.31,32.2,618.5
250,6,21.1,3,0.64,22.61,2.2,31.1,593
251,7,22.2,0,0.77,18.89,2,32.2,572.4
252,8,24.4,0,0.73,22.14,2.11,31.1,566.1
253,9,24.4,0,0.58,20.93,2.83,31.1,554.7
254,10,22.2,0,0.61,23.2,2.32,32.2,529.9
255,11,29.4,8,0.52,23.47,2.68,32.2,512.9
256,12,23.3,0,0.4,23.28,3.37,31.7,491.7
257,13,24.4,0,0.29,23.64,3.78,32.8,500.2
258,14,23.3,0,0.34,23.44,3.29,33.3,498.8
259,15,21.1,6.5,0.31,23.31,3.54,30,506.6
260,16,20,7.3,0.37,21.9,3.61,28.9,495.9
261,17,18.9,0,0.31,22.8,3.77,31.1,468.3
262,18,20,0,0.29,22.9,3.56,31.7,426.5
263,19,21.1,0,0.31,22.64,3.93,29.4,384
264,20,18.9,0,0.26,22.46,3.76,32.2,364.2
265,21,17.8,0,0.24,22.46,3.97,32.8,354.9
266,22,18.3,0,0.17,22.46,3.92,29.4,331.6
267,23,18.9,0,0.14,22.68,3.89,33.3,304.6
268,24,16.7,0,0.12,22.72,4.24,32.8,286.9
269,25,16.7,0,0.1,22.64,4.44,33.9,282
270,26,17.8,0,0.15,22.27,4.24,32.2,275.6
271,27,16.7,0,0.13,22.03,3.85,33.9,269.2
272,28,16.7,0,0.14,21.26,3.43,32.2,263
273,29,18.3,0,0.18,21.25,3.6,33.3,260.7
274,30,16.7,0,0.18,21.16,3.46,26.7,257.9
275,1,15.6,0,0.19,21.17,3.84,31.1,252.2
276,2,13.9,0,0.21,20.93,3.81,30.6,244.8
277,3,15.6,0,0.17,20.93,3.93,35,237.5
278,4,16.7,0,0.16,20.84,3.8,33.9,231.8
279,5,16.1,0,0.12,20.7,3.98,33.3,223.3
280,6,16.7,0,0.1,20.71,3.95,34.4,220.5
281,7,17.8,0,0.14,20.27,3.98,32.2,215.4
282,8,16.7,0,0.17,20.06,3.96,33.9,214.8
283,9,16.1,0,0.26,19.5,3.82,27.8,209.7
284,10,15.6,0,0.2,19.8,3.98,28.9,209.1
285,11,15.6,0,0.2,19.74,3.96,31.1,203.5
286,12,14.4,0,0.2,19.52,3.86,30,198.4
287,13,14.4,0,0.17,19.39,3.56,29.4,197.8
288,14,13.3,0,0.17,19.14,3.98,30,192.7
289,15,13.3,0,0.24,18.9,4.13,31.1,192.1
290,16,12.8,0,0.21,18.92,3.82,30.6,186.5
291,17,12.2,0,0.17,18.85,4.14,26.7,180.8
292,18,13.3,0,0.17,18.77,4.1,30,175.1
293,19,12.8,0,0.25,18.33,3.14,25.6,170
294,20,14.4,0,0.24,18.08,3.82,29.4,170
295,21,14.4,0,0.21,18.09,3.54,28.9,170
296,22,13.3,0,0.22,17.77,3.85,27.8,169.5
297,23,12.2,0,0.19,17.85,3.87,29.4,164.4
298,24,11.1,0,0.16,17.86,4.52,28.9,164.4
299,25,12.2,0,0.15,18.07,4.1,28.3,164.4
300,26,11.7,0,0.22,17.67,4.16,27.8,164.4
301,27,12.2,0,0.26,17.5,3.47,27.2,164.4
302,28,11.7,0,0.32,17.18,3.82,26.7,164.4
303,29,12.2,0,0.25,17.04,4.52,27.8,163.8
304,30,11.7,0,0.2,17.17,3.81,27.2,158.7
305,31,11.1,0,0.23,16.92,3.6,26.7,158.1
306,1,10.6,0,0.24,16.44,3.51,26.7,153
307,2,11.7,0,0.23,16.55,4.02,27.2,152.7
308,3,11.1,0,0.32,16.16,3.18,27.2,150.2
309,4,10,0,0.35,15.7,3.8,25.6,150.2
310,5,10.6,0,0.22,16.2,4.05,26.1,150.2
311,6,10,0,0.23,16.04,3.93,26.7,149.9
312,7,10,0,0.17,15.98,3.97,27.2,147.4
313,8,9.4,0,0.15,16.04,4.39,25.6,147.4
314,9,10,0,0.16,16.14,4.16,23.3,147.4
315,10,8.9,0,0.21,15.79,3.9,22.2,147.1
316,11,9.4,0,0.22,15.59,4.1,23.9,144.5
317,12,8.9,0,0.21,15.46,3.81,18.9,144.2
318,13,10,0,0.2,15.42,4.02,22.2,141.4
319,14,8.3,0,0.17,15.42,3.63,25,138.9
320,15,8.9,0,0.2,15.25,4.02,24.4,138.6
321,16,7.8,0,0.17,15.05,3.88,24.4,136
322,17,7.8,0,0.18,13.78,3.58,25.6,136
323,18,8.9,0,0.22,13.9,3.13,23.3,135.7
324,19,6.7,0,0.27,12.8,3.06,22.8,133.2
325,20,7.2,0,0.35,14.38,3.49,23.9,133.2
326,21,6.7,0,0.12,14.84,3.81,23.3,133.2
327,22,5.6,0,0.21,14.76,3.45,22.8,132.9
328,23,5.6,0,0.35,13.56,3.76,22.2,130.4
329,24,7.2,0,0.26,14.55,4.18,22.8,130.4
330,25,7.8,0,0.22,14.37,3.63,22.2,130.1
331,26,8.9,0,0.24,14.18,3.82,21.7,127.5
332,27,8.9,0,0.32,13.98,3.17,20,127.5
333,28,5.6,0,0.35,13.8,3.91,22.2,127.2
334,29,5,0,0.21,13.97,3.32,21.7,124.7
335,30,5.6,0,0.31,12.5,3.33,21.1,124.7
336,1,5.6,0,0.39,13.56,2.96,20,124.7
337,2,5,0,0.35,13.57,2.99,19.4,124.7
338,3,4.4,0,0.32,13.61,3.31,21.1,123.6
339,4,5,0,0.35,13.46,3.25,21.7,123.3
340,5,5,0,0.43,13.04,3.68,21.1,123
341,6,5.6,0,0.31,13.31,3.61,22.2,121.9
342,7,5,0,0.39,13.32,3.37,22.8,121.9
343,8,5.6,0,0.3,12.2,4.18,22.2,121.9
344,9,4.4,0,0.23,13.35,4.4,20,120.4
345,10,5.6,0,0.08,12.14,3.79,22.2,120.4
346,11,5.6,0,0.06,12.75,3.75,21.1,120.4
347,12,5,0,0.12,12.5,3.5,21.7,120.4
348,13,5.6,0,0.17,10.83,3.36,22.2,120.4
349,14,7.8,0,0.76,3.84,2.77,22.2,120.4
350,15,6.7,0,0.47,12.04,3.51,23.3,120.4
351,16,4.4,0,0.53,12.98,2.16,21.1,120.4
352,17,7.8,0,0.66,4,2.32,22.2,120.4
353,18,5.6,0,0.53,12.41,2.82,23.3,119
354,19,7.8,0,0.54,13.63,3.67,22.2,119
355,20,5.6,0,0.65,11.67,2.44,21.1,119
356,21,6.7,0,0.49,13.45,3.54,18.9,119
357,22,7.8,10,0.29,14.03,3.73,18.9,119
358,23,5.6,4.5,0.45,13,3.49,16.7,119
359,24,6.7,0,0.37,0.08,5.92,15.6,119
360,25,6.7,0,0.31,14.05,2.81,12.2,119
361,26,5.6,7,0.33,13.63,4.04,8.9,119.3
362,27,5.6,0,0.29,13.88,3.7,15.6,121.6
363,28,4.4,0,0.28,13.52,3.67,14.4,119
364,29,3.3,0,0.25,12.87,3.43,13.3,119
365,30,1.7,0,0.18,13.37,3.28,13.9,118.7
366,31,2.2,0,0.45,12.89,2.37,15.6,116.2
367,1,2.2,0,0.31,13.87,4.53,14.4,116.2
368,2,3.3,0,0.24,14.5,3.81,16.1,115.3
369,3,3.3,0,0.52,14.23,2.46,17.8,113.4
370,4,2.8,0,0.78,2.22,3.38,17.2,113.4
371,5,5.6,0,0.45,14.4,4.07,20,113.1
372,6,6.7,0,0.25,13.44,3.61,23.3,110.5
373,7,6.1,0,0.27,14.51,3.5,22.8,110.5
374,8,6.7,0.5,0.39,14.5,3.48,21.7,110.5
375,9,5.6,0,0.49,14.66,4.68,20,110.5
376,10,6.7,0,0.43,14.86,4.65,20,110.5
377,11,5.6,9,0.41,13.25,4.04,17.8,110.5
378,12,1.1,25.5,0.44,14.78,4.15,6.7,110.5
379,13,3.3,0,0.5,14.31,2.95,12.2,110.5
380,14,5.6,0,0.46,14.98,3.74,17.8,110.5
381,15,6.1,0,0.49,14.99,3.89,18.9,110.5
382,16,4.4,0,0.49,14.03,3.43,21.1,110.5
383,17,4.4,0,0.67,12.31,2.81,16.7,110.5
384,18,5,0,0.71,6.43,3.41,20,110.5
385,19,6.1,0,0.61,11.63,3.65,16.7,110.5
386,20,5,0,0.89,1.9,2.15,20,110.5
387,21,6.7,0,0.93,1.62,2.12,21.1,110.2
388,22,5.6,0,0.92,1.22,2.73,18.3,107.7
389,23,6.7,0,0.83,2.32,3.21,18.9,107.7
390,24,6.1,0,0.49,16.39,3.72,20,107.7
391,25,8.9,0,0.4,16.01,3.88,16.7,107.7
392,26,9.4,0,0.39,16.79,3.95,20.6,107.7
393,27,10,16.5,0.43,15.91,4.01,17.8,107.7
394,28,6.7,30.5,0.52,14.52,3.54,11.1,108
395,29,7.8,18.5,0.56,14.4,3.27,10,112.2
396,30,6.7,23.5,0.9,1.46,2.36,9.4,116.8
397,31,5.6,30.5,0.85,5.09,3.47,8.9,125
398,1,6.7,0.5,0.7,17.77,4.96,18.3,130.6
399,2,6.1,0,0.51,17.84,5.05,20,117.9
400,3,5.6,0,0.42,18.11,4.36,17.2,115.9
401,4,4.4,0,0.34,18.24,4.43,16.7,113.1
402,5,7.8,0,0.74,12.38,2.55,17.2,110.5
403,6,6.7,0,0.79,7.21,2.63,18.9,110.5
404,7,4.4,25.5,0.49,18.52,4.83,13.3,111.1
405,8,4.4,2.5,0.36,18.87,4.49,13.9,116.2
406,9,3.9,0,0.34,19.06,4.3,17.2,116
407,10,5.6,0,0.4,17.67,4.31,17.8,113.4
408,11,4.4,0,0.3,19.14,3.77,20,113.4
409,12,3.9,0,0.47,13.18,2.72,19.4,113.4
410,13,3.3,20.5,0.43,17.11,3.92,20,113.4
411,14,6.1,1.5,0.37,17.39,4.1,13.3,115.1
412,15,6.7,0,0.33,19.11,4.2,19.4,113.1
413,16,5.6,0,0.34,19.04,3.55,21.1,110.5
414,17,6.7,0,0.31,19.84,5.04,21.7,110.5
415,18,3.3,0,0.4,19.77,3.48,17.8,110.5
416,19,4.4,0,0.43,19.4,3.23,18.9,110.5
417,20,5,0,0.29,19.78,4.06,18.3,110.5
418,21,4.4,0.5,0.5,16.13,3.39,17.8,110.5
419,22,4.4,0,0.41,19.35,3.58,18.9,110.5
420,23,5,0,0.24,20.74,4.13,18.3,110.2
421,24,4.4,0,0.13,21.34,4.11,17.8,107.7
422,25,6.7,0,0.17,21.27,4.11,21.1,107.7
423,26,5.6,0,0.27,21.16,3.36,23.3,107.7
424,27,7.2,0,0.39,20.37,3.05,23.9,107.7
425,28,8.3,0,0.12,22.17,4.25,24.4,107.7
426,29,0,1,0.11,22.45,4.31,22.5,107.7
427,1,10,0,0.1,22.49,4.08,21.1,107.7
428,2,11.1,0,0.19,22.46,3.71,25.6,107.7
429,3,7.8,0,0.28,21.99,4.72,26.1,107.7
430,4,8.9,0,0.67,5.71,3.73,23.3,108
431,5,10,1,0.8,6.52,2.67,25.6,110.5
432,6,10,0,0.86,3.69,3.4,22.2,110.5
433,7,10.6,0,0.7,13.37,4.52,22.8,110.8
434,8,8.9,0,0.54,22.98,4.58,25,113.4
435,9,8.3,0,0.5,22.52,3.04,24.4,113.4
436,10,8.9,0,0.44,18.06,3.84,25.6,113.4
437,11,10,0,0.33,23.28,4.39,23.9,113.4
438,12,11.1,5.5,0.49,19.77,4.07,19.4,113.6
439,13,10,6.5,0.62,14.47,3.48,17.8,116.2
440,14,11.1,9.5,0.59,21.64,2.52,13.3,117
441,15,6.7,9.5,0.85,5.63,2.39,12.8,121.6
442,16,6.7,0,0.8,2.86,3.18,23.3,118.7
443,17,7.8,0,0.55,20.22,2.84,25.6,116.2
444,18,10,0,0.73,5.7,3.09,21.1,116.2
445,19,10.6,0,0.37,23.42,3.32,27.2,116.5
446,20,11.1,1.5,0.42,21.85,3.42,22.8,119.3
447,21,10,11.5,0.59,7.47,3.87,13.3,122.1
448,22,12.2,0.5,0.43,24.55,2.86,23.3,123
449,23,10,19,0.39,21.87,3.85,15.6,123.8
450,24,8.9,21,0.26,25.67,4.69,12.2,139.4
451,25,10,0.5,0.24,23.47,3.89,18.9,142.3
452,26,8.9,3.5,0.33,25.02,3.46,14.4,138.6
453,27,10,0,0.24,24.43,3.95,23.3,135.7
454,28,12.2,0,0.31,25.5,3.77,23.9,133.2
455,29,11.7,3.8,0.42,21.7,3.64,19.4,133.2
456,30,12.8,0,0.43,21.75,3.31,25.6,133.2
457,31,10,0,0.17,22.61,3.83,24.4,133.2
458,1,10.6,0,0.12,25.08,4,25.6,129.8
459,2,12.2,0,0.45,14.49,3.24,27.2,127.5
460,3,11.1,0,0.39,18.07,4.24,26.7,127.5
461,4,12.8,0,0.26,25.23,4.04,28.3,127.5
462,5,13.3,0,0.2,27.33,4.68,30,127.8
463,6,13.3,2.4,0.24,27.03,4.61,28.3,131.2
464,7,11.1,0,0.25,27.29,3.8,25.6,139.4
465,8,12.2,0,0.29,23.84,3.57,23.3,144
466,9,14.4,0,0.31,25.38,3.7,27.8,138.6
467,10,16.7,0,0.37,24.99,3.21,28.9,136.3
468,11,13.3,1.4,0.28,27.26,3.61,25.6,138.9
